id;code;name;cargo_class_value
1643;51144;Кизил свежий;2
1644;402052;КИНЕСКОПЫ;3
1645;485426;Киноварь натуральная (ртуть сернистая);3
1646;462161;Кинопленка на нитроцеллюлозной основе;3
1647;462176;КИНОПЛЕНКИ;3
1648;256076;Киоски торговые;3
1649;404062;Кипятильники электробытовые;3
1650;652068;Кирза (обувная и шорно-седельная);3
1651;253118;Кирпич асбоцементный;1
1652;253014;Кирпич бетонный;1
1653;253029;Кирпич гидравлический;1
1654;253033;Кирпич гипсовый;1
1655;253048;Кирпич глиняный обыкновенный;1
1656;253052;Кирпич глиняный пустотелый;1
1657;302013;Кирпич динасовый;2
1658;302032;Кирпич кислотоупорный и огнеупорный (бокситовый, магнезитовый, сифонный, тальковый, фасонный, хромомагнезитовый и др.), не поименованный в алфавите;2
1659;253071;Кирпич лекальный, кроме огнеупорного;1
1660;253086;Кирпич лицевой белый;1
1661;253090;Кирпич лицевой красный;1
1662;302009;Кирпич огнеупорный;2
1663;253141;Кирпич пенодиатомитовый, диатомитовый и трепельный;1
1664;253103;Кирпич силикатный;1
1665;267036;Кирпич стеклянный полый;3
1666;253008;Кирпич строительный;1
1667;253137;Кирпич строительный, не поименованный в алфавите;1
1668;302028;Кирпич шамотный;2
1669;253122;Кирпич шлаковый;1
1670;253067;Кирпич-клинкер;1
1671;516152;Кисель сухой;2
1672;488301;Кислород охлажденный, жидкий;3
1673;488316;Кислород сжатый;3
1674;720000;КИСЛОРОДСОДЕРЖАЩИЕ ОРГАНИЧЕСКИЕ СОЕДИНЕНИЯ;3
1675;724040;Кислота 1-оксиэтилидендифосфорновая, раствор (ОЭДФ-1);3
1676;724054;Кислота адипиновая;3
1677;481143;Кислота азотная;3
1678;724069;Кислота акриловая (пропеновая);3
1679;481177;Кислота борная;3
1680;481181;Кислота бромистоводородная, раствор;3
1681;516164;Кислота виннокаменная;2
1682;481196;Кислота вольфрамовая;3
1683;724073;Кислота изофталевая;3
1684;481209;Кислота йодисто-водородная, раствор;3
1685;481213;Кислота кремнефтористоводородная;3
1686;516179;Кислота лимонная;2
1687;724088;Кислота малеиновая;3
1688;724092;Кислота метакриловая ингибированная;3
1689;516183;Кислота молочная;2
1690;724105;Кислота монохлоруксусная;3
1691;724117;Кислота муравьиная (метановая);3
1692;724124;Кислота нафтеновая;3
1693;724139;Кислота нитрилакриловая;3
1694;724143;Кислота нитрилотри-метилфосфоновая;3
1695;724158;Кислота олеиновая (олеин);3
1696;467339;Кислота пикроминовая (2-амино-4, 6 динитрофенол), паста с содержанием воды не менее 43%;3
1697;481228;Кислота плавиковая (фтористоводородная, водород фтористый), водный раствор;3
1698;724162;Кислота пропионовая (пропановая);3
1699;724177;Кислота салициловая;3
1700;481232;Кислота серная;3
1701;481251;Кислота синильная;3
1702;481266;Кислота соляная (хлористоводородная);3
1703;724181;Кислота стеариновая (стеарин);3
1704;724196;Кислота трихлоруксусная;3
1705;724209;Кислота уксусная концентрации более 80% по массе;3
1706;724213;Кислота уксусная, раствор концентрации более 10%, но не более 80%;3
1707;481270;Кислота фосфористая;3
1708;481285;Кислота фосфорная (ортофосфорная);3
1709;481293;Кислота хлорная концентрации менее 50%;3
1710;481302;Кислота хлорная концентрации от 50 до 72 %;3
1711;481317;Кислота хлорсульфоновая;3
1712;724228;Кислота хлоруксусная твердая;3
1713;724232;Кислота щавелевая (этандиовая);3
1714;724247;Кислота этилсерная;3
1715;724251;Кислоты дихлоркарбоновые;3
1716;724266;Кислоты жирные синтетические;3
1717;475123;Кислоты жирные талловые;3
1718;481321;Кислоты неорганические, не поименованные в алфавите;3
1719;724001;Кислоты органические и их соли;3
1720;724270;Кислоты органические, не поименованные в алфавите;3
1721;481001;Кислоты, оксиды, пероксиды и ангидриды;3
1722;653094;Кисти технические;3
1723;653080;Кисти, не поименованные в алфавите;3
1724;634093;Кители, мундиры;3
1725;461169;КИТРА;3
1726;582077;КИШМИШ;2
1727;631042;Клеенка всякая;3
1728;464078;Клеи, содержащие легковоспламеняющуюся жидкость;3
1729;464006;КЛЕЙ;3
1730;465093;Клей вишневый и смоляной;3
1731;464082;Клей казеиновый;3
1732;464097;Клей канифольный;3
1733;464114;Клей резиновый;3
1734;464129;Клей синтетический;3
1735;464133;Клей столярный;3
1736;464148;Клей, не поименованный в алфавите;3
1737;515053;Клейковина (отходы крахмалопаточного производства);3
1738;91086;Клепка деревянная;1
1739;125167;Клетки деревянные;3
1740;261133;КЛИНГЕРИТ;3
1741;151075;Клинкер руд цветных металлов;1
1742;245003;Клинкер цементный;1
1743;416159;КЛИШЕ;3
1744;51159;Клюква свежая;2
1745;51163;Клюква свежемороженая;2
1746;682097;Клюшки хоккейные;3
1747;684054;Книги конторские новые;2
1748;692116;Книги конторские старые;3
1749;671105;Книги копировальные и брошюры печатные;2
1750;671001;Книги, брошюры, газеты, журналы и прочая продукция печатная;2
1751;632295;Кноп (шерстяная, суконная и хлопчато-бумажная стрижка);3
1752;684069;Кнопки, скрепки, булавки канцелярские;2
1753;486113;Коагулянт железный;3
1754;486128;Коагулянт каолиновый;3
1755;486132;Коагулянт нефелиновый;3
1756;486147;Коагулянт оксихлорида алюминия;3
1757;486151;Коагулянты, не поименованные в алфавите;3
1758;331196;КОБАЛЬТ;3
1759;483420;Кобальт сернокислый;3
1760;485430;Кобальт хлористый;3
1761;481336;Кобальта оксид;3
1762;623065;Ковры веревочные;3
1763;626063;Ковры войлочные;3
1764;635005;Ковры и изделия ковровые;3
1765;685076;Ковры камышовые, кокосовые, соломен-ные и травяные;3
1766;635043;Ковры шелковые, шерстяные и хлопчато-бумажные;3
1767;635039;Ковры, не поименованные в алфавите;3
1768;412092;Ковши, кроме литейных;3
1769;652000;Кожа искусственная;3
1770;652072;Кожа искусственная, не поименованная в алфавите;3
1771;651031;Кожа подошвенная, кроме искусственной;3
1772;651050;Кожи выделанные, не поименованные в алфавите;3
1773;77021;Кожи невыделанные всякие;3
1774;651046;Кожи юфтевые (юфть);3
1775;77002;Кожи, шкуры и пушнина невыделанные;3
1776;411259;Кожухи из черных металлов;3
1777;61057;КОЗЫ;2
1778;622010;Коконы шелкопряда сухие;3
1779;170004;КОКС;1
1780;171026;Кокс высокосернистый;1
1781;171030;Кокс доменный;1
1782;171007;Кокс каменноугольный;1
1783;171045;Кокс лигнитовый;1
1784;171055;Кокс литейный;1
1785;222105;Кокс нефтяной анодный;2
